name,type,start_time,duration
"ICM42688 SPI","error",0.47395225,0.00003075
"ICM42688 SPI","error",0.474013125,0.0000005
"ICM42688 SPI","enable",0.474041375,0.000000125
"ICM42688 SPI","disable",0.47407475,0.000000125
"ICM42688 SPI","error",0.474102375,0.000003
"ICM42688 SPI","error",0.474150625,0.000000625
"ICM42688 SPI","enable",0.474182125,0.000000125
"ICM42688 SPI","disable",0.474213,0.000000125
"ICM42688 SPI","error",0.474243125,0.000000625
"ICM42688 SPI","error",0.47427425,0.000031
"ICM42688 SPI","error",0.474365125,0.000031875
"ICM42688 SPI","error",0.474426125,0.000001375
"ICM42688 SPI","error",0.474458,0.000077
"ICM42688 SPI","error",0.47456225,0.000003
"ICM42688 SPI","enable",0.474595125,0.000000125
"ICM42688 SPI","disable",0.474626375,0.000000125
"ICM42688 SPI","error",0.47465325,0.000000875
"ICM42688 SPI","error",0.47465425,0.00000025
"ICM42688 SPI","error",0.474654625,0.000002375
"ICM42688 SPI","error",0.47469875,0.00000425
"ICM42688 SPI","error",0.474744625,0.00000425
"ICM42688 SPI","enable",0.474777875,0.000000125
"ICM42688 SPI","disable",0.474778125,0.000000125
"ICM42688 SPI","enable",0.47477825,0.000000125
"ICM42688 SPI","disable",0.4747995,0.000000125
"ICM42688 SPI","enable",0.47479975,0.000000125
"ICM42688 SPI","disable",0.474949,0.000000125
"ICM42688 SPI","error",0.475023,0.00000225
"ICM42688 SPI","enable",0.475055,0.000000125
"ICM42688 SPI","disable",0.4751325,0.000000125
"ICM42688 SPI","error",0.475331875,0.000077
"ICM42688 SPI","enable",0.527944125,0.000000125
"ICM42688 SPI","disable",0.52797675,0.000000125
"ICM42688 SPI","error",0.528005125,0.00000225
"ICM42688 SPI","error",0.528037875,0.00003075
"ICM42688 SPI","error",0.528141375,0.000003625
"ICM42688 SPI","error",0.528174,0.0000335
"ICM42688 SPI","enable",0.528267875,0.000000125
"ICM42688 SPI","disable",0.528299,0.000000125
"ICM42688 SPI","error",0.528328875,0.00000075
"ICM42688 SPI","error",0.528360125,0.000030875
"ICM42688 SPI","enable",0.528451,0.000000125
"ICM42688 SPI","disable",0.5285285,0.000000125
"ICM42688 SPI","error",0.528587125,0.000033375
"ICM42688 SPI","error",0.5287385,0.000004375
"ICM42688 SPI","error",0.528773375,0.000169375
"ICM42688 SPI","error",0.528971875,0.0000015
"ICM42688 SPI","error",0.52901875,0.0000005
"ICM42688 SPI","enable",0.529047,0.000000125
"ICM42688 SPI","disable",0.529126375,0.000000125
"ICM42688 SPI","error",0.529155375,0.00000175
"ICM42688 SPI","error",0.529201875,0.00000175
"ICM42688 SPI","error",0.529249,0.0000005
"ICM42688 SPI","enable",0.529324625,0.000000125
"ICM42688 SPI","disable",0.5294025,0.000000125
"ICM42688 SPI","error",0.581938375,0.000031875
"ICM42688 SPI","enable",0.582030125,0.000000125
"ICM42688 SPI","disable",0.582061625,0.000000125
"ICM42688 SPI","error",0.582091125,0.000001125
"ICM42688 SPI","enable",0.58216625,0.000000125
"ICM42688 SPI","disable",0.58220025,0.000000125
"ICM42688 SPI","enable",0.582260125,0.000000125
"ICM42688 SPI","disable",0.582292,0.000000125
"ICM42688 SPI","error",0.582353125,0.00003075
"ICM42688 SPI","error",0.582444875,0.000076625
"ICM42688 SPI","error",0.582551125,0.000001
"ICM42688 SPI","error",0.582581,0.000032625
"ICM42688 SPI","error",0.582732375,0.0000035
"ICM42688 SPI","error",0.582766375,0.000169375
"ICM42688 SPI","error",0.582964125,0.00000225
"ICM42688 SPI","enable",0.583040375,0.000000125
"ICM42688 SPI","disable",0.58311975,0.000000125
"ICM42688 SPI","error",0.58314725,0.00000275
"ICM42688 SPI","error",0.583194125,0.0000025
"ICM42688 SPI","error",0.583241,0.0000015
"ICM42688 SPI","error",0.583287875,0.0000005
"ICM42688 SPI","error",0.58331675,0.00007875
"ICM42688 SPI","error",0.635932625,0.000030875
"ICM42688 SPI","error",0.635989375,0.000004625
"ICM42688 SPI","error",0.636022125,0.000033375
"ICM42688 SPI","error",0.63608325,0.0000025
"ICM42688 SPI","error",0.63615975,0.000033875
"ICM42688 SPI","error",0.636254625,0.00003125
