magic,version,size,sequence,dropped_records,timestamp_us,tick_ms,imu_sequence,raw_temperature,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,temperature_c,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg,rc_ch1_us,rc_ch2_us,rc_ch3_us,rc_ch4_us,rc_ch5_us,rc_ch6_us,rc_ch7_us,rc_ch8_us,throttle_us,servo_alpha_us,servo_beta_us,motor_upper_us,motor_lower_us,rc_armed,rc_link_ok,throttle_over_20,imu_valid,motor_output_reason,rc_link_seen,arm_switch_high,arm_throttle_low,arm_switch_seen_low,arm_switch_prev_high,imu_fault_latched,imu_fault_reason,motor_output_reason_name,acc_nav_m_s2_0,acc_nav_m_s2_1,acc_nav_m_s2_2,vel_est_m_s_0,vel_est_m_s_1,vel_est_m_s_2,vel_ref_m_s_0,vel_ref_m_s_1,vel_err_m_s_0,vel_err_m_s_1,vel_pid_out_m_s2_0,vel_pid_out_m_s2_1,vel_pid_p_m_s2_0,vel_pid_p_m_s2_1,vel_pid_i_m_s2_0,vel_pid_i_m_s2_1,vel_pid_d_m_s2_0,vel_pid_d_m_s2_1,vel_loop_active,ctrl_pos_p_m_s2_0,ctrl_pos_p_m_s2_1,ctrl_pos_p_m_s2_2,ctrl_vel_d_m_s2_0,ctrl_vel_d_m_s2_1,ctrl_vel_d_m_s2_2,ctrl_accel_out_m_s2_0,ctrl_accel_out_m_s2_1,ctrl_accel_out_m_s2_2,ctrl_force_cmd_n_0,ctrl_force_cmd_n_1,ctrl_force_cmd_n_2,ctrl_tilt_ff_rad_0,ctrl_tilt_ff_rad_1,ctrl_tilt_angle_p_rad_0,ctrl_tilt_angle_p_rad_1,ctrl_tilt_rate_d_rad_0,ctrl_tilt_rate_d_rad_1,ctrl_tilt_out_rad_0,ctrl_tilt_out_rad_1,ctrl_yaw_angle_p_rad_s,ctrl_yaw_rate_d_rad_s,ctrl_yaw_torque_cmd,ctrl_total_force_n,ctrl_motor_thrust_cmd_n_0,ctrl_motor_thrust_cmd_n_1,ctrl_motor_cmd_us_0,ctrl_motor_cmd_us_1,z_ref_m,record_crc32,sector_seq,sector_index
827477062,2,320,27712,8810,410471241,410472,404281,524,-12711,5216,-5332,94,85,-32,29.09375,0.05684488266706467,0.28497499227523804,0.9942637085914612,1.8582651615142822,-2.625828742980957,-0.3768925666809082,0.9967838525772095,0.6081386208534241,2.430180072784424,1500,1500,1487,1500,2000,1000,1000,1000,1509,1525,1480,1759,1730,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.021701950579881668,0.08845639228820801,-0.43408554792404175,-0.00035683935857377946,0.003387264907360077,-0.565840482711792,0.0,0.0,0.00035683935857377946,-0.003387264907360077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31133100390434265,0.0,-0.0,0.0,0.0,0.0,0.31133100390434265,0.12445974349975586,0.2795755863189697,11.397788047790527,0.010919205844402313,-0.02451229654252529,0.0,0.0,0.020004471763968468,-0.014156907796859741,0.03092367760837078,-0.03866920620203018,-0.13436168432235718,0.0009867025073617697,-4.6681263484060764e-05,11.411770820617676,5.939291477203369,5.472478866577148,1759.0,1730.0,0.0,665811619,20299,956
827477062,2,320,27713,8810,410475240,410476,404285,540,6500,12745,4132,45,-23,-114,29.21875,-0.025872841477394104,-0.3383443355560303,1.1080868244171143,-1.833953857421875,-3.8733456134796143,-4.646539688110352,0.966623067855835,0.6489449143409729,2.412454605102539,1500,1500,1487,1500,2000,1000,1000,1000,1509,1512,1476,1757,1732,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.11701139807701111,0.275027871131897,-0.38696223497390747,0.00013942834630142897,0.0033114508260041475,-0.566714346408844,0.0,0.0,-0.00013942834630142897,-0.0033114508260041475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31133100390434265,-0.0,-0.0,0.0,0.0,0.0,0.31133100390434265,0.10144028812646866,0.38263440132141113,11.396556854248047,0.008900724351406097,-0.03353721275925636,0.0,0.0,0.029511675238609314,0.013973204419016838,0.03841239959001541,-0.019564008340239525,-0.13343358039855957,0.012164613232016563,-4.244409501552582e-05,11.407153129577637,5.915797233581543,5.491356372833252,1757.0,1732.0,0.0,3592355625,20299,956
827477062,2,320,27714,8810,410479274,410480,404289,530,4442,5048,-3144,214,-335,335,29.140625,0.15224996209144592,0.17935091257095337,0.911608874797821,-2.6135387420654297,-3.734955310821533,-2.5021865367889404,1.0603938102722168,0.6622146964073181,2.4120092391967773,1500,1500,1487,1500,2000,1000,1000,1000,1509,1510,1473,1758,1731,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.14772208034992218,-0.07825450599193573,-0.34162747859954834,0.00025216618087142706,0.003486502217128873,-0.567755937576294,0.0,0.0,-0.00025216618087142706,-0.003486502217128873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29719778895378113,-0.0,-0.0,0.0,0.0,0.0,0.29719778895378113,0.15433385968208313,0.408286988735199,11.41270637512207,0.013522161170840263,-0.03572810813784599,0.0,0.0,0.028416987508535385,0.01988481730222702,0.0419391468167305,-0.015843290835618973,-0.1334102600812912,0.006550709251314402,-4.440080374479294e-05,11.42418384552002,5.934095859527588,5.490087985992432,1758.0,1731.0,0.0,214393068,20299,956
827477062,2,320,27715,8810,410483304,410484,404293,538,-11984,7100,-813,12,125,-264,29.203125,-0.0411687046289444,0.004104524850845337,1.0708694458007812,2.682744026184082,-2.498504161834717,-3.1056900024414062,0.9187135696411133,0.6269316077232361,2.386418342590332,1500,1500,1487,1500,2000,1000,1000,1000,1509,1527,1479,1758,1732,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.018668528646230698,0.3174421489238739,-0.42074668407440186,0.0006509465165436268,0.004000694490969181,-0.5686375498771667,0.0,0.0,-0.0006509465165436268,-0.004000694490969181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29719778895378113,-0.0,-0.0,0.0,0.0,0.0,0.29719778895378113,0.1657898724079132,0.25988078117370605,11.414281845092773,0.014523752965033054,-0.02275131084024906,0.0,0.0,0.019006963819265366,-0.020408539101481438,0.033530715852975845,-0.0431598499417305,-0.13207033276557922,0.008130677975714207,-4.3378910049796104e-05,11.431346893310547,5.932568073272705,5.498778820037842,1758.0,1732.0,0.0,3017498176,20299,956
827477062,2,320,27716,8810,410487337,410488,404297,530,13657,12615,3019,194,-450,180,29.140625,0.07676302641630173,-0.21168570220470428,1.0082557201385498,-4.226583957672119,-4.9956159591674805,-9.185247421264648,1.007431149482727,0.68086177110672,2.3650903701782227,1500,1500,1487,1500,2000,1000,1000,1000,1509,1499,1464,1757,1735,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.17235073447227478,0.07765026390552521,-0.3016494810581207,0.00103003007825464,0.003802675986662507,-0.569471001625061,0.0,0.0,-0.00103003007825464,-0.003802675986662507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2691112458705902,-0.0,-0.0,0.0,0.0,0.0,0.2691112458705902,0.21398401260375977,0.3561524450778961,11.446646690368652,0.018691858276724815,-0.031054340302944183,0.0,0.0,0.03789588436484337,0.032062139362096786,0.056587740778923035,0.0010077990591526031,-0.1309536099433899,0.024046922102570534,-3.741728141903877e-05,11.465004920959473,5.919589042663574,5.545415878295898,1757.0,1735.0,0.0,1221325471,20299,956
827477062,2,320,27717,8810,410491367,410492,404301,552,-10339,5000,-5686,83,31,45,29.3125,0.08712705969810486,0.326790452003479,0.9633222222328186,1.891069769859314,-2.045646905899048,1.0250874757766724,0.9906244277954102,0.6503375172615051,2.354945659637451,1500,1500,1487,1500,2000,1000,1000,1000,1509,1527,1478,1760,1732,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.06639839708805084,0.0479407012462616,-0.3800307810306549,0.0013429968385025859,0.004445899743586779,-0.5704488754272461,0.0,0.0,-0.0013429968385025859,-0.004445899743586779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2691112458705902,-0.0,-0.0,0.0,0.0,0.0,0.2691112458705902,0.2138441801071167,0.3298323154449463,11.446568489074707,0.018679773434996605,-0.028790146112442017,0.0,0.0,0.015518033877015114,-0.014345429837703705,0.03419780731201172,-0.04313557595014572,-0.1304224282503128,-0.00268367282114923,-4.6587083488702774e-05,11.46392822265625,5.96489953994751,5.49902868270874,1760.0,1732.0,0.0,4085314209,20299,956
827477062,2,320,27718,8810,410495477,410496,404305,540,2861,11407,3996,-12,-106,-180,29.21875,-0.06455288082361221,-0.2959437668323517,1.1098867654800415,-0.3800849914550781,-2.8116488456726074,-6.441452980041504,0.9151785373687744,0.680965006351471,2.3317480087280273,1500,1500,1487,1500,2000,1000,1000,1000,1509,1515,1472,1759,1735,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.11195270717144012,0.3080980181694031,-0.3707541525363922,0.0017396429320797324,0.004379963036626577,-0.5712041854858398,0.0,0.0,-0.0017396429320797324,-0.004379963036626577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24175497889518738,-0.0,-0.0,-0.0,0.0,0.0,0.24175497889518738,0.2546357810497284,0.3087669909000397,11.479302406311035,0.0221785269677639,-0.026865866035223007,0.0,0.0,0.021268010139465332,0.0028750572819262743,0.04344653710722923,-0.023990808054804802,-0.1292077898979187,0.016863685101270676,-3.93204391002655e-05,11.493452072143555,5.943328380584717,5.550123691558838,1759.0,1735.0,0.0,1190110002,20299,956
827477062,2,320,27727,8818,410531692,410532,404341,554,-3338,4525,-6528,162,-338,132,29.328125,0.11767992377281189,0.25605085492134094,0.9149242639541626,0.9463489055633545,-3.234435558319092,-5.982549667358398,0.9462497234344482,0.6910561919212341,2.133556365966797,1500,1500,1487,1500,2000,1000,1000,1000,1509,1524,1467,1760,1738,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.023103173822164536,-0.027466408908367157,-0.27824151515960693,0.003464590525254607,0.005617471411824226,-0.5776877403259277,0.0,0.0,-0.003464590525254607,-0.005617471411824226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1806257665157318,-0.0,-0.0,-0.0,0.0,0.0,0.1806257665157318,0.31175360083580017,0.34827226400375366,11.551141738891602,0.02698243409395218,-0.030101709067821503,0.0,0.0,0.0243139136582613,-0.007113898638635874,0.05129634588956833,-0.03721560910344124,-0.11883050948381424,0.01566227898001671,-3.610888961702585e-05,11.574370384216309,5.967729568481445,5.606640815734863,1760.0,1738.0,0.0,1466632493,20299,956
827477062,2,320,27728,8818,410535724,410536,404345,536,-3819,9629,1430,-23,136,-237,29.1875,-0.036028485745191574,-0.13571318984031677,1.0852080583572388,2.0316483974456787,-1.5746581554412842,-4.393650531768799,0.8248146772384644,0.6967703700065613,2.100674629211426,1500,1500,1487,1500,2000,1000,1000,1000,1509,1528,1477,1761,1739,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.025253746658563614,0.2845410108566284,-0.3329932689666748,0.0036156673450022936,0.0056778560392558575,-0.57823246717453,0.0,0.0,-0.0036156673450022936,-0.0056778560392558575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16743940114974976,-0.0,-0.0,-0.0,0.0,0.0,0.16743940114974976,0.2753678262233734,0.33432990312576294,11.567444801330566,0.023800920695066452,-0.02887629345059395,0.0,0.0,0.011820344254374504,-0.015250790864229202,0.03562126308679581,-0.04412708431482315,-0.11710882186889648,0.011502550914883614,-3.6962213926017284e-05,11.586066246032715,5.97784423828125,5.608222007751465,1761.0,1739.0,0.0,2999304286,20299,956
827477062,2,320,27729,8818,410539754,410540,404349,534,10877,11199,535,175,-495,162,29.171875,0.12209801375865936,-0.05965520441532135,0.9912871718406677,-1.4698338508605957,-4.1478705406188965,-7.575509071350098,0.9233197569847107,0.7390099167823792,2.087249279022217,1500,1500,1487,1500,2000,1000,1000,1000,1509,1508,1461,1760,1740,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.12897050380706787,-0.009347133338451385,-0.23889581859111786,0.0037933706771582365,0.005603718105703592,-0.578771710395813,0.0,0.0,-0.0037933706771582365,-0.005603718105703592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16743940114974976,-0.0,-0.0,-0.0,0.0,0.0,0.16743940114974976,0.35244905948638916,0.28161174058914185,11.567682266235352,0.030459001660346985,-0.024293750524520874,0.0,0.0,0.031135808676481247,0.011033243499696255,0.06159481033682823,-0.01326050702482462,-0.11640587449073792,0.019832637161016464,-3.380060661584139e-05,11.590679168701172,5.9643425941467285,5.626336574554443,1760.0,1740.0,0.0,575515055,20299,956
827477062,2,320,27730,8818,410543783,410544,404353,548,-10757,4659,-1769,65,-76,-121,29.28125,-0.016754325479269028,0.1821245551109314,0.9861010909080505,3.2047648429870605,-1.7709901332855225,-3.7610347270965576,0.8476911783218384,0.690519392490387,2.0611724853515625,1500,1500,1487,1500,2000,1000,1000,1000,1509,1536,1476,1761,1739,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.02081538364291191,0.13319812715053558,-0.3106454610824585,0.003938499838113785,0.0060827163979411125,-0.5793841481208801,0.0,0.0,-0.003938499838113785,-0.0060827163979411125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16743940114974976,-0.0,-0.0,-0.0,0.0,0.0,0.16743940114974976,0.2783854007720947,0.3713153600692749,11.566690444946289,0.02406320720911026,-0.032068733125925064,0.0,0.0,0.013294999487698078,-0.024058489128947258,0.037358205765485764,-0.05612722039222717,-0.11504049599170685,0.009846366010606289,-3.681797534227371e-05,11.593022346496582,5.980600833892822,5.612421035766602,1761.0,1739.0,0.0,214858038,20299,956
