t_s,sample_ms,height_m,raw_flow_x,raw_flow_y,flow_x_no_height_m_s,flow_y_no_height_m_s,flow_x_with_height_m_s,flow_y_with_height_m_s,app_vx_m_s,app_vy_m_s,vofa_vx_m_s,vofa_vy_m_s,acc_nav_x_m_s2,acc_nav_y_m_s2,acc_nav_z_m_s2,rate_roll_rad_s,rate_pitch_rad_s,rate_roll_dps,rate_pitch_dps,moment_roll_n_m,moment_pitch_n_m,tilt_out_0_rad,tilt_out_1_rad,force_cmd_x_n,force_cmd_y_n,horizontal_scale,protection_flags,roll_est_deg,pitch_est_deg,roll_acc_deg,pitch_acc_deg,alpha,dt_ms,vel_ref_x_m_s,vel_ref_y_m_s,vel_loop_active,flow_quality,flow_valid,ekf_vx_m_s,ekf_vy_m_s,ekf_updates,ekf_rejects,ekf_skips
34.844000000011874,2835512,0.36474695801734924,0,-5,0.0,-0.05,0.0,-0.01823734790086746,0.0,-0.01825745776295662,-8.783002272139129e-07,-0.008738404139876366,-0.0010978237260133028,-0.00157645414583385,-0.0005744934314861894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.4652350381508796,1.931241397729739,1.1736125946044922,0.9921833872795105,0.9802575707435608,1.0069999694824219,0.0,0.05120000243186951,0.0,104,1,0.0,-0.008747653104364872,1,0,0
34.86000000000058,2835524,0.3644855320453644,0,-3,0.0,-0.03,0.0,-0.01093456596136093,0.0,-0.010934566147625446,-1.6433755263278726e-06,-0.01164502277970314,-0.0017507404554635286,0.0022039443720132113,0.0004979896475560963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.2832969820680162,2.0427368536702133,0.6360987424850464,1.8999618291854858,0.9793935418128967,1.0519999265670776,0.0,0.05120000243186951,0.0,104,1,0.0,-0.011663536541163921,1,0,0
34.875,2835532,0.36466559767723083,0,-4,0.0,-0.04,0.0,-0.014586623907089234,0.0,-0.014579420909285545,0.005827304907143116,-0.0174846351146698,-0.0009689766447991133,3.576100061764009e-05,-4.846573210670613e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.137131553827686,2.0601063727963833,1.234327793121338,1.1451923847198486,0.9790099859237671,1.0720000267028809,0.0,0.05120000243186951,0.0,106,1,0.005836521741002798,-0.017509566619992256,1,0,0
34.875,2835544,0.3647826313972473,2,-6,0.02,-0.06,0.007295652627944947,-0.021886957883834837,0.007295652292668819,-0.021886957809329033,0.005836521741002798,-0.008754783309996128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0788244602206483,1.8582854030217426,0.6725669503211975,0.6082552075386047,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,107,1,0.005836521741002798,-0.008754783309996128,1,0,1
34.89100000000326,2835552,0.3648587167263031,2,-3,0.02,-0.03,0.007297174334526062,-0.010945761501789093,0.007295652292668819,-0.010943478904664516,0.005832930561155081,-0.008749395608901978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9482319782189137,1.7016489261170145,0.9551020860671997,-0.04173940792679787,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,106,1,0.005832930561155081,-0.008749395608901978,1,0,1
34.90700000000652,2835564,0.3645581603050232,2,-3,0.02,-0.03,0.007291163206100464,-0.010936744809150696,0.0072911628521978855,-0.010936744511127472,0.005832930561155081,-0.008749395608901978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.901483096810125,1.762317042766803,0.8832894563674927,2.2091310024261475,0.9802575707435608,1.0069999694824219,0.0,0.05120000243186951,0.0,107,1,0.005828056018799543,-0.008736868388950825,1,0,1
34.90700000000652,2835572,0.36436280608177185,2,-3,0.02,-0.03,0.007287256121635437,-0.010930884182453155,0.0072911628521978855,-0.010936744511127472,0.01164434663951397,-0.01746651902794838,-0.0029968107119202614,0.0011193972313776612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.7243005821282917,1.6791397373450039,0.3168199956417084,-0.5004251003265381,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,107,1,0.01164434663951397,-0.01746651902794838,1,0,0
34.92200000000594,2835584,0.3638858199119568,4,-6,0.04,-0.06,0.014555432796478272,-0.021833149194717405,0.014555432833731174,-0.0218331478536129,0.011624505743384361,-0.008720019832253456,-0.0024778309743851423,0.0002066075539914891,-0.000980644254013896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5357324594391262,1.278869527785183,0.17150971293449402,-1.3563294410705566,0.9802191853523254,1.0089999437332153,0.0,0.05120000243186951,0.0,108,1,0.01164434663951397,-0.00873325951397419,1,0,0
34.92200000000594,2835592,0.3632257878780365,4,-3,0.04,-0.03,0.01452903151512146,-0.010896773636341095,0.014555432833731174,-0.01091657392680645,0.008687523193657398,-0.011580003425478935,0.0017942204140126705,0.000990017899312079,0.00017131806816905737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.295431182540451,1.177532081014724,-0.7431772351264954,0.08952786028385162,0.9802575707435608,1.0069999694824219,0.0,0.05120000243186951,0.0,107,1,0.008698723278939724,-0.011598297394812107,1,0,0
34.9380000000092,2835604,0.36244678497314453,3,-3,0.03,-0.03,0.010873403549194336,-0.010873403549194336,0.010873403400182724,-0.01449787151068449,0.008685658685863018,-0.008684885688126087,0.0,0.0009028485510498285,2.878189116017893e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9136619751931967,0.9764018632143383,-1.2121142148971558,-0.8401007056236267,0.9802575707435608,1.0069999694824219,0.0,0.05120000243186951,0.0,106,1,0.0,0.0,0,0,0
