"host_time_s","stage","timestamp_us","sequence","raw_temperature","raw_accel_x","raw_accel_y","raw_accel_z","raw_gyro_x","raw_gyro_y","raw_gyro_z","temperature_c","accel_x_g","accel_y_g","accel_z_g","gyro_x_dps","gyro_y_dps","gyro_z_dps","roll_deg","pitch_deg","yaw_deg","roll_acc_deg","pitch_acc_deg","roll_gyro_deg","pitch_gyro_deg","roll_residual_deg","pitch_residual_deg","accel_norm_g","accel_residual_deg","dt_ms","gyro_bias_ready","imu_data_ready_count","imu_poll_ready_count"
"0.5288454","baseline","1050699191","1039120","400","-23","8163","-105","-17","-10","2","28.125","0.01389966","-0.001593494","0.9939945","-0.01520564","0.0255134","-0.0242928","0.3406776","1.929224","36.31045","-0.0315129","0.7975311","0.2847812","2.785359","-0.316294","-1.987828","0.9946175","2.012835","1.009","1","1039121","0"
"0.533474","baseline","1050704233","1039125","410","-11","8157","-97","-12","-10","2","28.20313","0.01407323","0.0004206505","0.995385","-0.016619","0.01692762","-0.01342662","0.3407246","1.929363","36.31058","0.03039396","0.7649123","0.2848279","2.785451","-0.254434","-2.020539","0.9957605","2.036496","1.009","1","1039126","0"
"0.5383029","baseline","1050709275","1039130","396","21","8102","-125","-14","-10","2","28.09375","0.01413284","-0.0009540103","0.9941033","-0.01976934","0.04547799","0.0324975","0.3408643","1.92955","36.31079","-0.05498498","0.8145","0.2849596","2.785642","-0.3399446","-1.971142","0.993898","2.013514","1.009","1","1039131","0"
"0.5430605","baseline","1050713309","1039134","398","53","8136","-120","-17","-10","0","28.10938","0.01369897","-0.002872194","0.9938973","0.01747171","0.0595028","-0.03362056","0.3408229","1.929829","36.31067","-0.1784639","0.804309","0.2849182","2.785922","-0.4633822","-1.981613","0.9935158","2.03507","1.008","1","1039135","0"
"0.5478329","baseline","1050718351","1039139","406","28","8158","-97","-18","-8","3","28.17188","0.01323102","-0.002766841","0.9935103","0.02377478","0.0414672","0.01074065","0.3406686","1.929863","36.31068","-0.1397789","0.7254006","0.2847559","2.78604","-0.4245348","-2.060639","0.994022","2.103916","1.007","1","1039140","0"
"0.5524829","baseline","1050722383","1039144","398","10","8156","-126","-9","-5","1","28.10938","0.01323797","-0.0008177844","0.9948771","0.02232029","-0.03054206","0.05130257","0.3406203","1.930129","36.31074","-0.04709686","0.7623404","0.2847157","2.786222","-0.3318125","-2.023881","0.9949655","2.050901","1.008","1","1039145","0"
"0.5570842","baseline","1050727424","1039148","412","-8","8168","-99","-15","-8","5","28.21875","0.01265536","0.0001688269","0.9959193","-0.0205489","-0.009099867","-0.02533977","0.3405487","1.930055","36.3107","-0.006308839","0.7642177","0.2846762","2.786217","-0.290985","-2.022","0.9957646","2.04283","1.009","1","1039149","0"
"0.5616871","baseline","1050732466","1039153","402","32","8157","-89","-9","-11","0","28.14063","0.01342463","-0.001364018","0.9942325","0.03603666","-0.009079531","-0.03429005","0.3405541","1.930453","36.31074","-0.07860582","0.7735889","0.2846099","2.786533","-0.406507","-2.016432","0.9945423","2.056999","1.009","1","1039154","0"
"0.5663964","baseline","1050736499","1039157","394","17","8092","-129","-17","-11","2","28.07813","0.01482247","-0.00257285","0.9921806","-0.01140166","0.08765368","-0.03408027","0.3404023","1.930503","36.31057","-0.1485749","0.8558916","0.2844976","2.786596","-0.4330725","-1.930704","0.9922946","1.978679","1.008","1","1039158","0"
"0.5709924","baseline","1050741541","1039162","382","-29","8157","-113","-14","-10","2","27.98438","0.01487704","-0.001397657","0.9942479","-0.0304386","0.06265705","-0.04292207","0.34053","1.93083","36.31048","-0.03094951","0.866272","0.2846117","2.786887","-0.3155612","-1.920615","0.9944221","1.946366","1.008","1","1039163","0"
"0.5757501","baseline","1050746582","1039167","396","-11","8167","-78","-19","-12","4","28.09375","0.01477437","0.0001419973","0.9950674","-0.02926213","0.02953836","-0.06309332","0.3404795","1.930557","36.31039","0.008176173","0.8506427","0.2845748","2.78665","-0.2763986","-1.936007","0.9955198","2.007555","1.008","1","1039168","0"
"0.580751","baseline","1050751623","1039172","390","17","8113","-133","-15","-14","2","28.04688","0.0149915","-0.0005824276","0.9938434","0.03029607","-0.1071544","-0.05351706","0.3403982","1.930124","36.31042","-0.05727557","0.8399251","0.2844979","2.786232","-0.3417735","-1.946306","0.9938817","1.976086","1.009","1","1039173","0"
"0.5867294","baseline","1050757672","1039178","400","10","8107","-113","-17","-9","3","28.125","0.01499542","-0.002567381","0.9926081","-0.008081369","0.07490076","0.03480446","0.3403966","1.930371","36.31051","-0.1481952","0.8655036","0.2844919","2.786463","-0.432687","-1.92096","0.9927247","1.974178","1.008","1","1039179","0"
"0.591417","baseline","1050761706","1039182","390","-18","8169","-87","-19","-11","3","28.04688","0.01426307","-0.001974444","0.9945455","0.01949831","0.02230971","-0.02904142","0.3402262","1.930269","36.31051","-0.0555388","0.8171201","0.2843215","2.786362","-0.3398603","-1.969242","0.9949314","1.998354","1.008","1","1039183","0"
"0.5960663","baseline","1050766748","1039187","404","-12","8163","-104","-10","-18","1","28.15625","0.01453336","0.0001259205","0.9954131","-0.0006657392","-0.06401411","-0.1169239","0.3401575","1.929911","36.31037","0.03395026","0.7905554","0.2842137","2.785893","-0.2502635","-1.995338","0.9957322","2.010971","1.008","1","1039188","0"
"0.6012591","baseline","1050771790","1039192","392","25","8115","-157","-12","-4","3","28.0625","0.01497006","-0.0007988904","0.9943541","-0.02417082","-0.08588321","0.1437253","0.3401685","1.92943","36.31067","-0.05996024","0.8656313","0.2842934","2.78551","-0.3442536","-1.919879","0.9939309","1.950499","1.008","1","1039193","0"
"0.6070421","baseline","1050777840","1039198","398","15","8101","-162","-4","-11","-1","28.10938","0.01591018","-0.002294957","0.9928349","0.04499319","-0.1827189","-0.01198399","0.3401228","1.928836","36.31096","-0.1226803","0.9361336","0.2842181","2.784929","-0.4068984","-1.848795","0.9923829","1.893042","1.008","1","1039199","0"
"0.6123586","baseline","1050782882","1039203","400","-20","8157","-109","-7","-14","0","28.125","0.01540314","-0.001918286","0.993657","0.01868203","-0.06852426","-0.06634092","0.3400707","1.928653","36.31086","-0.05286744","0.8754125","0.2841362","2.784674","-0.3370036","-1.909261","0.994005","1.938776","1.008","1","1039204","0"
"0.6170479","baseline","1050787924","1039208","392","-5","8161","-122","-10","-11","1","28.0625","0.01607927","1.093082E-05","0.9945242","-0.03008673","0.02008474","-0.06570721","0.3401885","1.928844","36.3106","0.0006297384","0.9262664","0.2842838","2.784936","-0.283654","-1.85867","0.9951066","1.912727","1.008","1","1039209","0"
"0.6217456","baseline","1050791957","1039212","396","12","8141","-151","-22","-4","3","28.07813","0.01588169","-0.000488115","0.9946063","-0.05737883","0.1068388","0.05461173","0.3404014","1.929221","36.31078","-0.02811859","0.9148107","0.2844967","2.785314","-0.3126153","-1.870503","0.9947332","1.896447","1.009","1","1039213","0"
"0.6267286","baseline","1050796998","1039217","390","50","8148","-125","-16","-9","3","28.04688","0.01471103","-0.002112827","0.9942943","-0.0180303","0.07704019","-0.02203475","0.3404623","1.929525","36.31068","-0.1582693","0.875224","0.2845652","2.785696","-0.4428346","-1.910472","0.9941186","1.961123","1.008","1","1039218","0"
"0.6314369","baseline","1050802039","1039222","404","32","8175","-144","-8","-10","-2","28.15625","0.01604284","-0.003037567","0.9939148","0.09991024","-0.1399941","-0.04642038","0.3401792","1.929316","36.3105","-0.1606075","0.9079686","0.2842017","2.785329","-0.4448091","-1.87736","0.9947764","1.929336","1.009","1","1039223","0"
"0.6361611","baseline","1050806073","1039226","408","-26","8160","-139","-6","-9","2","28.09375","0.01553397","-0.0001775636","0.9954827","-0.007604736","-0.1447465","-0.0406298","0.3400544","1.928835","36.31021","-0.01021981","0.8939972","0.2841497","2.784928","-0.2943695","-1.89093","0.9956039","1.913706","1.008","1","1039227","0"
"0.6407074","baseline","1050811115","1039231","400","-15","8175","-93","-9","-9","2","28.125","0.01382146","0.0002215722","0.9962865","-0.02368229","-0.0813712","-0.05657556","0.3401197","1.928523","36.30996","0.008493817","0.8122867","0.2842179","2.784545","-0.2757241","-1.972258","0.9964916","1.991438","1.008","1","1039232","0"
"0.6453171","baseline","1050815148","1039235","396","15","8146","-68","-15","-11","3","28.09375","0.0137233","-0.000906544","0.9945464","-0.04323888","0.07826761","-0.02510315","0.3402525","1.928661","36.31008","-0.05222595","0.7905484","0.2843479","2.784754","-0.3365738","-1.994206","0.9946415","2.022409","1.008","1","1039237","0"
"0.6497374","baseline","1050820190","1039240","396","11","8109","-133","-14","-14","3","28.09375","0.01389599","-0.002116441","0.9937672","-0.01752724","-0.00698994","-0.04657342","0.3402927","1.928708","36.31014","-0.1161511","0.8108319","0.2844049","2.784791","-0.400556","-1.97396","0.9931341","2.01419","1.009","1","1039241","0"
"0.654117","baseline","1050824224","1039245","404","-13","8160","-99","-12","-8","1","28.15625","0.01356319","-0.001851102","0.9939001","-0.01620637","0.014942","-0.0156923","0.3404557","1.928787","36.31001","-0.1067111","0.7818329","0.284551","2.78488","-0.3912621","-2.003047","0.9939944","2.024538","1.009","1","1039246","0"
"0.6590572","baseline","1050829266","1039249","390","9","8159","-94","-13","-10","4","28.03125","0.01466989","-0.0005296233","0.9945344","-0.02884878","-0.07230526","0.004807757","0.3405113","1.928254","36.31015","-0.03051194","0.8450806","0.2846066","2.784347","-0.3151186","-1.939266","0.9946427","1.964702","1.008","1","1039251","0"
"0.6639856","baseline","1050834308","1039254","400","18","8137","-134","-11","-9","1","28.125","0.01453397","-0.0009776034","0.9945698","-0.02209079","0.03346002","-0.02427684","0.3405693","1.928194","36.31016","-0.05631835","0.8694896","0.2846647","2.784287","-0.340983","-1.914797","0.9946848","1.944921","1.008","1","1039255","0"
"0.6855828","baseline","1050856491","1039276","398","0","8113","-131","-13","-12","0","28.10938","0.0151135","-0.0003521298","0.9942595","0.01247813","-0.03006863","0.006981578","0.3407003","1.929702","36.30981","-0.02377746","0.8725559","0.2847837","2.785748","-0.3085611","-1.913192","0.9939688","1.937915","1.009","1","1039277","0"
"0.6908837","baseline","1050861532","1039281","392","32","8125","-133","-14","-8","1","28.0625","0.01484054","-0.002596874","0.993898","0.01227789","-0.004034219","0.009388791","0.3406519","1.929525","36.30983","-0.1260413","0.8520153","0.2847053","2.78564","-0.4107465","-1.933625","0.9933711","1.976769","1.009","1","1039282","0"
"0.6956976","baseline","1050866574","1039286","388","25","8167","-84","-19","-9","3","28.03125","0.01427865","-0.002287283","0.9942577","-0.006700921","0.02268994","-0.02437832","0.3405007","1.929438","36.3098","-0.1318083","0.8227729","0.284596","2.785531","-0.3976868","-2.000955","0.9946635","2.040092","1.009","1","1039287","0"
"0.7014254","baseline","1050871616","1039292","406","-5","8164","-95","-13","-15","3","28.17188","0.01384864","-0.0005389901","0.9956988","-0.01827948","0.01422832","-0.07121211","0.3404877","1.929603","36.30986","-0.03101526","0.796845","0.284583","2.785696","-0.3155983","-1.988851","0.9957952","2.048119","1.008","1","1039293","0"
"0.7325358","baseline","1050902876","1039323","406","25","8102","-135","-12","-8","1","28.17188","0.01428083","-0.003254892","0.9927582","0.003995172","-0.05767173","0.006277858","0.3408092","1.931079","36.30983","-0.1878513","0.8241385","0.2849045","2.787171","-0.4727558","-1.963033","0.9928662","2.019157","1.008","1","1039324","0"
"0.7377647","baseline","1050907918","1039327","400","29","8160","-129","-12","-10","1","28.125","0.01469119","-0.002634693","0.9937862","0.03015645","-0.03356314","-0.02570613","0.3407206","1.931026","36.30986","-0.1519003","0.8469416","0.2848159","2.787119","-0.4367162","-1.940177","0.9938983","1.98872","1.008","1","1039328","0"
"0.7425927","baseline","1050912960","1039332","386","0","8159","-150","-8","-11","1","28.01563","0.0152028","-0.0007406467","0.9948139","0.005226314","-0.08257692","-0.01525683","0.3406841","1.930846","36.30983","-0.03142633","0.8625205","0.2847689","2.786856","-0.3161952","-1.924336","0.9950911","1.950141","1.008","1","1039333","0"
"0.7474758","baseline","1050918001","1039337","392","10","8135","-150","-12","-8","5","28.0625","0.01476662","-0.0002816636","0.9950613","-0.09499843","0.01233886","0.007068602","0.3409469","1.930837","36.30965","-0.0270441","0.8932761","0.2851123","2.786921","-0.3121563","-1.893645","0.9944168","1.919201","1.007","1","1039338","0"
"0.7523159","baseline","1050923041","1039342","386","60","8160","-129","-16","-4","5","28.01563","0.01440745","-0.002535057","0.9942543","-0.03929305","0.02234768","0.03592468","0.3410974","1.930844","36.3096","-0.1460871","0.8301955","0.2851927","2.786937","-0.4312798","-1.956741","0.9943619","1.963637","1.008","1","1039343","0"
"0.778887","baseline","1050949259","1039368","388","35","8170","-113","-15","-11","3","28.23438","0.01398348","-0.002637111","0.9941025","0.007869447","0.04189373","-0.03469436","0.340825","1.931893","36.30929","-0.1519913","0.8058912","0.2849203","2.787986","-0.4369117","-1.982095","0.9942043","2.029678","1.009","1","1039369","0"
"0.7841186","baseline","1050954301","1039373","392","4","8143","-125","-16","-10","2","28.125","0.01398953","-0.0003245594","0.9947414","-0.01053474","0.03132457","-0.05177058","0.3409219","1.932033","36.30928","-0.01869419","0.8057252","0.2850172","2.788126","-0.3037114","-1.982401","0.9948398","2.005531","1.007","1","1039374","0"
"0.7890247","baseline","1050959341","1039378","406","2","8160","-138","-11","-4","3","28.17188","0.01346223","0.0001581872","0.9951219","-0.05335191","-0.02935591","0.03860361","0.3410577","1.931906","36.30918","0.009107887","0.8193274","0.285153","2.787999","-0.2760451","-1.968671","0.9952236","1.987931","1.009","1","1039379","0"
"0.7940987","baseline","1050964383","1039383","396","33","8165","-92","-18","-8","7","28.09375","0.013089","-0.001358575","0.9948248","-0.112157","0.1089987","0.0143515","0.3413879","1.932178","36.30933","-0.09816722","0.7780402","0.2854832","2.788271","-0.3836504","-2.010231","0.9949644","2.046513","1.009","1","1039384","0"
"0.8265805","baseline","1050997659","1039416","394","9","8170","-124","-12","-13","-1","28.07813","0.01467398","-0.0003416658","0.9952933","0.05101821","-0.0576668","-0.01223923","0.3418284","1.931937","36.30917","-0.01966858","0.8052733","0.2859051","2.788037","-0.2924223","-1.982764","0.9955961","2.004211","1.009","1","1039417","0"
"0.8319627","baseline","1051002701","1039421","394","10","8128","-139","-16","-6","2","28.07813","0.01397331","-0.0003738025","0.9949983","-0.02925089","0.04101628","0.0704913","0.3419617","1.932073","36.3093","-0.02152496","0.8045832","0.2860571","2.788166","-0.307582","-1.970219","0.9944023","1.995298","1.008","1","1039422","0"
"0.8364877","baseline","1051006735","1039425","394","49","8153","-111","-13","-9","2","28.07813","0.01356813","-0.002190755","0.9940162","0.00598306","-0.03132181","-0.005426039","0.3419429","1.932095","36.30941","-0.1453125","0.8187085","0.2860382","2.788188","-0.4313507","-1.969479","0.9940825","2.016163","1.008","1","1039426","0"
