host_time,id,seq,t_ms,axis,mode,alpha_us,beta_us,roll,pitch,gx,gy,rc_arm,throttle_us,line
1779826255.975158,3,127,2542,roll,doublet,1412,1821,-0.625,-0.513,4.07,-0.01,1,1100,IDENT sample id=3 seq=127 t_ms=2542 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.625 pitch=-0.513 gx=4.07 gy=-0.01 rc_arm=1 throttle_us=1100
1779826255.980388,3,128,2562,roll,doublet,1412,1821,-0.614,-0.52,4.64,-0.04,1,1100,IDENT sample id=3 seq=128 t_ms=2562 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.614 pitch=-0.520 gx=4.64 gy=-0.04 rc_arm=1 throttle_us=1100
1779826256.101266,3,129,2582,roll,doublet,1412,1821,-0.616,-0.516,5.09,0.0,1,1100,IDENT sample id=3 seq=129 t_ms=2582 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.616 pitch=-0.516 gx=5.09 gy=0.00 rc_arm=1 throttle_us=1100
1779826256.209041,3,130,2603,roll,doublet,1412,1821,-0.632,-0.52,5.6,-0.11,1,1100,IDENT sample id=3 seq=130 t_ms=2603 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.632 pitch=-0.520 gx=5.60 gy=-0.11 rc_arm=1 throttle_us=1100
1779826256.215043,3,131,2623,roll,doublet,1412,1821,-0.657,-0.514,5.94,-0.03,1,1100,IDENT sample id=3 seq=131 t_ms=2623 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.657 pitch=-0.514 gx=5.94 gy=-0.03 rc_arm=1 throttle_us=1100
1779826256.334106,3,132,2643,roll,doublet,1412,1821,-0.694,-0.519,6.14,-0.09,1,1100,IDENT sample id=3 seq=132 t_ms=2643 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.694 pitch=-0.519 gx=6.14 gy=-0.09 rc_arm=1 throttle_us=1100
1779826256.340213,3,133,2663,roll,doublet,1412,1821,-0.737,-0.514,6.09,0.04,1,1100,IDENT sample id=3 seq=133 t_ms=2663 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.737 pitch=-0.514 gx=6.09 gy=0.04 rc_arm=1 throttle_us=1100
1779826256.459104,3,134,2683,roll,doublet,1412,1821,-0.78,-0.516,5.94,-0.08,1,1100,IDENT sample id=3 seq=134 t_ms=2683 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.780 pitch=-0.516 gx=5.94 gy=-0.08 rc_arm=1 throttle_us=1100
1779826256.466104,3,135,2703,roll,doublet,1412,1821,-0.822,-0.511,5.58,0.07,1,1100,IDENT sample id=3 seq=135 t_ms=2703 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.822 pitch=-0.511 gx=5.58 gy=0.07 rc_arm=1 throttle_us=1100
1779826256.583421,3,136,2723,roll,doublet,1412,1821,-0.86,-0.511,5.15,-0.01,1,1100,IDENT sample id=3 seq=136 t_ms=2723 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.860 pitch=-0.511 gx=5.15 gy=-0.01 rc_arm=1 throttle_us=1100
1779826256.589476,3,137,2743,roll,doublet,1412,1821,-0.889,-0.506,4.67,0.03,1,1100,IDENT sample id=3 seq=137 t_ms=2743 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.889 pitch=-0.506 gx=4.67 gy=0.03 rc_arm=1 throttle_us=1100
1779826256.708649,3,138,2763,roll,doublet,1412,1821,-0.907,-0.508,4.05,-0.09,1,1100,IDENT sample id=3 seq=138 t_ms=2763 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.907 pitch=-0.508 gx=4.05 gy=-0.09 rc_arm=1 throttle_us=1100
1779826256.714656,3,139,2783,roll,doublet,1412,1821,-0.913,-0.506,3.57,-0.02,1,1100,IDENT sample id=3 seq=139 t_ms=2783 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.913 pitch=-0.506 gx=3.57 gy=-0.02 rc_arm=1 throttle_us=1100
